Latitude,Longitude,Sample Date,blue,green,red,nir,swir16,swir22,NDMI,MNDWI
-28.760833,17.730278,02-01-2011,9557.0,11426.0,12802.0,11190.0,7687.5,7645.0,0.18553833929280794,0.19559473670442257
-26.861111,28.884722,03-01-2011,8691.0,9550.0,9241.5,17658.5,13746.5,10574.0,0.12456615188664187,-0.18013435494602117
-26.45,28.085833,03-01-2011,9502.5,10720.0,12540.0,15210.0,17974.0,14201.0,-0.08329315332690428,-0.2528054645570494
-27.671111,27.236944,03-01-2011,9693.5,10943.0,11237.5,14887.0,13522.0,11403.0,0.04804815375409185,-0.10541590026568524
-27.356667,27.286389,03-01-2011,8718.0,9502.5,9290.0,16828.5,12665.5,9643.0,0.1411473520037969,-0.14268314687838263
-27.01011111,26.69808333,04-01-2011,9344.0,10433.5,10728.5,12433.5,9579.5,8531.5,0.1296506609730608,0.04267226302903092
-25.127778,27.628889,04-01-2011,4984.0,5189.5,5122.0,7814.0,6664.0,5222.0,0.07943086061610664,-0.12439363900957418
-25.20639,27.558,04-01-2011,10039.0,10466.5,9985.0,14137.5,10315.5,8536.0,0.1562998405103662,0.007265903185448912
-24.69514,27.40906,04-01-2011,9921.0,10647.0,10524.0,15543.0,11919.5,9642.5,0.13194355939918023,-0.056388895043537744
-26.98472222,26.63227778,04-01-2011,9414.0,10207.0,10262.5,13683.0,14011.5,11850.5,-0.01186156095975731,-0.15709065383900672
-28.141944,26.417778,04-01-2011,9085.5,9840.0,9679.0,14391.0,13799.5,11265.0,0.020982245792022063,-0.16749508238329844
-27.398611,26.614722,04-01-2011,9253.5,10247.0,10126.0,15515.5,12823.0,10403.5,0.09501208603137042,-0.11166016471608102
-33.501667,21.624167,04-01-2011,,,,,,,,
-32.502778,19.535833,04-01-2011,10579.0,13104.0,14613.0,17653.0,19330.0,16984.0,-0.0453451585863774,-0.191959055312326
-25.45963889,28.26430556,04-01-2011,9139.0,9926.0,11096.0,13959.0,15156.5,12552.5,-0.0411292953924884,-0.20853184491179028
-27.495556,26.074722,04-01-2011,9490.5,11044.5,11540.5,17937.5,18143.5,14152.5,-0.005709376125938844,-0.24321639029738168
-26.648056,27.089444,05-01-2011,8535.0,9597.0,8963.5,19310.5,12954.5,9447.5,0.1969936463660307,-0.14888144912755183
-26.970278,27.211111,05-01-2011,9671.5,11040.0,11496.0,10218.0,7946.5,7735.0,0.1250516116601056,0.16293155663234318
-27.38972222,26.46388889,05-01-2011,10130.0,11597.0,11926.0,11481.0,8583.0,8196.5,0.1444377990430615,0.14935579781962266
-27.044444,27.005,05-01-2011,8882.5,9908.0,9503.5,17418.5,13987.0,10115.0,0.10926430083902466,-0.17070516844528075
-30.830556,26.921389,06-01-2011,4189.0,4491.0,4479.0,5266.5,3672.5,3764.5,0.1783197225640432,0.10026336742818522
-27.00222,28.76528,06-01-2011,8743.0,9691.0,9947.0,13724.0,13005.5,10754.5,0.02688041302680549,-0.1460357323816441
-27.02314,28.59389,06-01-2011,8893.0,9969.5,10129.0,11490.5,10372.5,9135.0,0.05113662351918744,-0.01981122800117973
-30.679722,26.7125,06-01-2011,9235.5,10548.0,11938.0,13400.0,7764.0,7659.0,0.26630126630126505,0.15203145478374755
-30.160091,27.40124,06-01-2011,9063.0,10060.0,10522.5,14158.0,12037.5,10023.5,0.08094901796109989,-0.08948976128521287
-32.595833,19.009444,06-01-2011,9227.5,10334.0,10903.5,15218.5,14735.0,12208.5,0.016141686280401236,-0.17555546691132407
-25.99136,27.84208,10-01-2011,10629.0,11771.5,11898.0,18631.5,16495.0,12815.0,0.060823025351230374,-0.1671059381246346
-26.73806,27.59194,10-01-2011,8719.0,9167.0,8961.0,9089.5,7963.0,7740.0,0.066060694912769,0.07028604786923486
-26.45,28.085833,10-01-2011,9502.5,10720.0,12540.0,15210.0,17974.0,14201.0,-0.08329315332690428,-0.2528054645570494
-30.86013889,29.07125,10-01-2011,9396.0,10724.5,11634.0,14558.0,11450.0,10000.5,0.11950169178714197,-0.032717761392590444
-27.356667,27.286389,10-01-2011,8718.0,9502.5,9290.0,16828.5,12665.5,9643.0,0.1411473520037969,-0.14268314687838263
-27.01011111,26.69808333,11-01-2011,9344.0,10433.5,10728.5,12433.5,9579.5,8531.5,0.1296506609730608,0.04267226302903092
-25.73411,27.21422,11-01-2011,16362.5,17765.0,17879.5,21914.0,22170.5,17965.5,-0.005818371536481063,-0.11031538355598375
-26.98472222,26.63227778,11-01-2011,9414.0,10207.0,10262.5,13683.0,14011.5,11850.5,-0.01186156095975731,-0.15709065383900672
-27.398611,26.614722,11-01-2011,9253.5,10247.0,10126.0,15515.5,12823.0,10403.5,0.09501208603137042,-0.11166016471608102
-27.671111,27.236944,11-01-2011,9693.5,10943.0,11237.5,14887.0,13522.0,11403.0,0.04804815375409185,-0.10541590026568524
-29.160278,26.573333,11-01-2011,,,,,,,,
-34.250556,20.9925,11-01-2011,8456.0,9019.0,9192.0,12323.0,13161.0,10800.5,-0.03288337780568187,-0.18674481514878186
-25.45963889,28.26430556,11-01-2011,9139.0,9926.0,11096.0,13959.0,15156.5,12552.5,-0.0411292953924884,-0.20853184491179028
-25.81048333,27.90955222,12-01-2011,8693.0,9753.0,9553.5,16870.5,13408.0,10257.0,0.11435507042951232,-0.15780838478476683
-27.273889,28.49,12-01-2011,8456.5,9060.0,9407.5,12333.0,9264.5,8181.0,0.14207662923949466,-0.011159922508117488
-27.4275,28.525833,12-01-2011,9231.0,10794.0,11296.0,16767.0,18026.5,15340.5,-0.03619929009728818,-0.2509498447285778
-28.883333,27.89,12-01-2011,8398.5,9248.0,9399.5,14007.5,12553.5,9979.0,0.054741914837543565,-0.15161800793523314
-27.00222,28.76528,13-01-2011,8743.0,9691.0,9947.0,13724.0,13005.5,10754.5,0.02688041302680549,-0.1460357323816441
-27.02314,28.59389,13-01-2011,8893.0,9969.5,10129.0,11490.5,10372.5,9135.0,0.05113662351918744,-0.01981122800117973
-30.534167,24.961944,13-01-2011,9795.0,10835.0,10773.5,15132.5,13586.0,11169.0,0.05385030555217002,-0.11264894967446006
-28.460833,21.248889,13-01-2011,10832.0,12046.5,13063.0,14599.0,12067.0,11038.5,0.09495237380934489,-0.0008501461836730428
-29.658056,25.973333,14-01-2011,9396.0,10765.0,11157.5,14001.0,12520.0,10583.0,0.055842539874061854,-0.07537041013527991
-28.760833,17.730278,16-01-2011,9557.0,11426.0,12802.0,11190.0,7687.5,7645.0,0.18553833929280794,0.19559473670442257
-25.513889,31.224444,17-01-2011,8486.0,9116.5,9137.5,14776.0,12424.0,9895.0,0.0864705882352938,-0.15354796778161997
-26.861111,28.884722,17-01-2011,8691.0,9550.0,9241.5,17658.5,13746.5,10574.0,0.12456615188664187,-0.18013435494602117
