Latitude,Longitude,Sample Date,elevation,slope,flow_accumulation
-28.760833,17.730278,02-01-2011,164.0,10.380871201534468,66.0
-26.861111,28.884722,03-01-2011,1519.0,2.7850154445755932,1.0
-26.45,28.085833,03-01-2011,1472.0,2.7850154445755932,1.0
-27.671111,27.236944,03-01-2011,1338.0,3.265799536657263,13.0
-27.356667,27.286389,03-01-2011,1356.0,4.654668808703565,2.0
-27.01011111,26.69808333,04-01-2011,1286.0,3.4882183488806575,2.0
-25.127778,27.628889,04-01-2011,953.0,1.8653150778647924,2.0
-25.20639,27.558,04-01-2011,952.0,5.2019756274773785,2.0
-24.69514,27.40906,04-01-2011,914.0,4.763738341721386,1.0
-26.98472222,26.63227778,04-01-2011,1283.0,2.7850154445755932,1.0
-28.141944,26.417778,04-01-2011,1264.0,2.988194873464975,2.0
-27.398611,26.614722,04-01-2011,1251.0,6.23751467632948,1.0
-33.501667,21.624167,04-01-2011,240.0,1.11086408901569,4182659.0
-32.502778,19.535833,04-01-2011,382.0,3.0040444945554015,722.0
-25.45963889,28.26430556,04-01-2011,1095.0,2.9785494790745637,4.0
-27.495556,26.074722,04-01-2011,1247.0,1.4002096068589085,2.0
-26.648056,27.089444,05-01-2011,1353.0,0.932904732083229,1.0
-26.970278,27.211111,05-01-2011,1320.0,0.0,7.0
-27.38972222,26.46388889,05-01-2011,1244.0,0.0,4057349.0
-27.044444,27.005,05-01-2011,1306.0,2.7987487172319523,1.0
-30.830556,26.921389,06-01-2011,1325.0,3.7212777820365663,233924.0
-27.00222,28.76528,06-01-2011,1493.0,3.869457283283111,8.0
-27.02314,28.59389,06-01-2011,1490.0,4.268887300104434,1.0
-30.679722,26.7125,06-01-2011,1295.0,0.0,1893895.0
-30.160091,27.40124,06-01-2011,1417.0,6.490589490658842,3.0
-32.595833,19.009444,06-01-2011,156.0,0.932904732083229,7.0
-25.99136,27.84208,10-01-2011,1361.0,2.7967382212195995,6.0
-26.73806,27.59194,10-01-2011,1411.0,0.932904732083229,44.0
-26.45,28.085833,10-01-2011,1472.0,2.7850154445755932,1.0
-30.86013889,29.07125,10-01-2011,823.0,3.3540719169947573,32.0
-27.356667,27.286389,10-01-2011,1356.0,4.654668808703565,2.0
-27.01011111,26.69808333,11-01-2011,1286.0,3.4882183488806575,2.0
-25.73411,27.21422,11-01-2011,1444.0,14.900966926401987,5.0
-26.98472222,26.63227778,11-01-2011,1283.0,2.7850154445755932,1.0
-27.398611,26.614722,11-01-2011,1251.0,6.23751467632948,1.0
-27.671111,27.236944,11-01-2011,1338.0,3.265799536657263,13.0
-29.160278,26.573333,11-01-2011,1334.0,0.0,1.0
-34.250556,20.9925,11-01-2011,30.0,18.199570969012232,12.0
-25.45963889,28.26430556,11-01-2011,1095.0,2.9785494790745637,4.0
-25.81048333,27.90955222,12-01-2011,1180.0,3.076361181997187,1.0
-27.273889,28.49,12-01-2011,1499.0,11.68542914427061,3.0
-27.4275,28.525833,12-01-2011,1510.0,4.5659305782065704,1.0
-28.883333,27.89,12-01-2011,1547.0,5.048085064979278,110.0
-27.00222,28.76528,13-01-2011,1493.0,3.869457283283111,8.0
-27.02314,28.59389,13-01-2011,1490.0,4.268887300104434,1.0
-30.534167,24.961944,13-01-2011,1217.0,2.152583835037645,8.0
-28.460833,21.248889,13-01-2011,794.0,4.278380799285448,1.0
-29.658056,25.973333,14-01-2011,1320.0,2.323092333071522,2.0
-28.760833,17.730278,16-01-2011,164.0,10.380871201534468,66.0
-25.513889,31.224444,17-01-2011,436.0,10.592520548249022,38.0
-26.861111,28.884722,17-01-2011,1519.0,2.7850154445755932,1.0
-31.554722,29.245556,17-01-2011,233.0,25.734677244239688,2.0
-28.058889,30.373611,17-01-2011,1139.0,1.4074827371154675,1.0
-25.127778,27.628889,18-01-2011,953.0,1.8653150778647924,2.0
-25.20639,27.558,18-01-2011,952.0,5.2019756274773785,2.0
-24.69514,27.40906,18-01-2011,914.0,4.763738341721386,1.0
-25.681111,31.783333,18-01-2011,202.0,2.2537833530627136,1447209.0
-27.802778,28.768333,18-01-2011,1559.0,9.495674610619696,4.0
-27.398611,26.614722,18-01-2011,1251.0,6.23751467632948,1.0
-31.104278,29.399722,18-01-2011,377.0,20.71686641152015,6.0
-31.396,29.2651,18-01-2011,115.0,5.7096765240558875,1.0
-33.38056,19.30167,18-01-2011,441.0,1.8653150778647924,2.0
-33.31388889,19.07472222,18-01-2011,91.0,4.808545174731271,493607.0
-27.495556,26.074722,18-01-2011,1247.0,1.4002096068589085,2.0
-24.39619444,27.08983333,19-01-2011,887.0,2.0353836660175126,1.0
-26.970278,27.211111,19-01-2011,1320.0,0.0,7.0
-26.880278,26.965,19-01-2011,1296.0,1.0351028507693336,2.0
-27.273889,28.49,19-01-2011,1499.0,11.68542914427061,3.0
-27.3,28.586944,19-01-2011,1510.0,11.064292258273667,3.0
-27.044444,27.005,19-01-2011,1306.0,2.7987487172319523,1.0
-30.568333,29.422778,19-01-2011,1248.0,6.424324039407854,2.0
-30.570833,29.150556,19-01-2011,1354.0,6.038662893082702,181.0
-34.031944,22.053333,19-01-2011,54.0,28.310563833758877,3.0
-33.13083,18.86278,19-01-2011,29.0,1.11086408901569,2.0
-33.7075,18.97444444,19-01-2011,97.0,2.1706396939205455,3.0
-25.57877778,29.12747222,19-01-2011,1160.0,5.672641820805539,3.0
-26.006389,29.253889,20-01-2011,1507.0,5.090319503142142,8.0
-27.02314,28.59389,20-01-2011,1490.0,4.268887300104434,1.0
-30.679722,26.7125,20-01-2011,1295.0,0.0,1893895.0
-28.460833,21.248889,20-01-2011,794.0,4.278380799285448,1.0
-30.77586667,29.03221667,20-01-2011,898.0,8.341592461830862,2.0
-24.925278,29.324444,21-01-2011,835.0,0.932904732083229,1.0
-28.460833,21.248889,21-01-2011,794.0,4.278380799285448,1.0
-24.679167,30.8025,24-01-2011,1106.0,1.8653150778647924,2.0
-25.99136,27.84208,24-01-2011,1361.0,2.7967382212195995,6.0
-25.49037,30.6986,24-01-2011,823.0,5.531151068545969,70.0
-26.970278,27.211111,24-01-2011,1320.0,0.0,7.0
-27.671111,27.236944,24-01-2011,1338.0,3.265799536657263,13.0
-27.356667,27.286389,24-01-2011,1356.0,4.654668808703565,2.0
-27.01011111,26.69808333,25-01-2011,1286.0,3.4882183488806575,2.0
-26.98472222,26.63227778,25-01-2011,1283.0,2.7850154445755932,1.0
-27.398611,26.614722,25-01-2011,1251.0,6.23751467632948,1.0
-33.818056,19.694722,25-01-2011,169.0,2.2208936495268206,1087.0
-25.45963889,28.26430556,25-01-2011,1095.0,2.9785494790745637,4.0
-33.897778,20.012778,25-01-2011,137.0,17.057635600101094,6.0
-25.81048333,27.90955222,26-01-2011,1180.0,3.076361181997187,1.0
-34.065833,20.404167,26-01-2011,63.0,4.856766985138627,7.0
-24.058889,31.237222,26-01-2011,280.0,1.3806866019776256,1.0
-26.648056,27.089444,26-01-2011,1353.0,0.932904732083229,1.0
-26.880278,26.965,26-01-2011,1296.0,1.0351028507693336,2.0
-27.273889,28.49,26-01-2011,1499.0,11.68542914427061,3.0
-27.044444,27.005,26-01-2011,1306.0,2.7987487172319523,1.0
-34.092222,21.295278,26-01-2011,95.0,1.8653150778647924,1.0
-27.02314,28.59389,27-01-2011,1490.0,4.268887300104434,1.0
-26.73806,27.59194,27-01-2011,1411.0,0.932904732083229,44.0
-28.760833,17.730278,30-01-2011,164.0,10.380871201534468,66.0
-26.861111,28.884722,31-01-2011,1519.0,2.7850154445755932,1.0
-26.73806,27.59194,31-01-2011,1411.0,0.932904732083229,44.0
-25.127778,27.628889,01-02-2011,953.0,1.8653150778647924,2.0
-24.69514,27.40906,01-02-2011,914.0,4.763738341721386,1.0
-27.363611,31.783333,01-02-2011,161.0,2.7967382212195995,6.0
-27.802778,28.768333,01-02-2011,1559.0,9.495674610619696,4.0
-29.160278,26.573333,01-02-2011,1334.0,0.0,1.0
-34.329722,18.990278,01-02-2011,7.0,3.726684473929321,7.0
-25.20639,27.558,02-02-2011,952.0,5.2019756274773785,2.0
-23.281,30.54305556,03-02-2011,473.0,2.9730251928285574,11.0
-28.801278,31.955389,03-02-2011,6.0,1.4074827371154675,1.0
-27.00222,28.76528,03-02-2011,1493.0,3.869457283283111,8.0
-27.02314,28.59389,03-02-2011,1490.0,4.268887300104434,1.0
-27.3,28.586944,03-02-2011,1510.0,11.064292258273667,3.0
-30.679722,26.7125,03-02-2011,1295.0,0.0,1893895.0
-28.460833,21.248889,03-02-2011,794.0,4.278380799285448,1.0
-28.460833,21.248889,04-02-2011,794.0,4.278380799285448,1.0
-29.140556,31.391944,07-02-2011,26.0,0.0,284.0
-25.99136,27.84208,07-02-2011,1361.0,2.7967382212195995,6.0
-24.058889,31.237222,07-02-2011,280.0,1.3806866019776256,1.0
-26.73806,27.59194,07-02-2011,1411.0,0.932904732083229,44.0
-30.86013889,29.07125,07-02-2011,823.0,3.3540719169947573,32.0
-27.356667,27.286389,07-02-2011,1356.0,4.654668808703565,2.0
-28.058889,30.373611,07-02-2011,1139.0,1.4074827371154675,1.0
-27.01011111,26.69808333,08-02-2011,1286.0,3.4882183488806575,2.0
-27.169444,29.233889,08-02-2011,1521.0,6.830881753683598,5.0
